Category,SubCategory,Task
NVDA,Information Technology,Long-Short Portfolio recommendations
AMD,Information Technology,Long-Short Portfolio recommendations
META,Communication Services,Long-Short Portfolio recommendations
AMZN,Consumer Discretionary,Long-Short Portfolio recommendations
TSLA,Consumer Discretionary,Long-Short Portfolio recommendations
GOOGL,Communication Services,Long-Short Portfolio recommendations
MSFT,Information Technology,Long-Short Portfolio recommendations
AAPL,Information Technology,Long-Short Portfolio recommendations
ABNB,Consumer Discretionary,Long-Short Portfolio recommendations
ADBE,Information Technology,Long-Short Portfolio recommendations
ADI,Information Technology,Long-Short Portfolio recommendations
ADP,Information Technology,Long-Short Portfolio recommendations
ADSK,Information Technology,Long-Short Portfolio recommendations
AEP,Utilities,Long-Short Portfolio recommendations
ALGN,Health Care,Long-Short Portfolio recommendations
ALNY,Health Care,Long-Short Portfolio recommendations
AMAT,Information Technology,Long-Short Portfolio recommendations
AMGN,Health Care,Long-Short Portfolio recommendations
ANSS,Information Technology,Long-Short Portfolio recommendations
AON,Financials,Long-Short Portfolio recommendations
APA,Energy,Long-Short Portfolio recommendations
ASML,Information Technology,Long-Short Portfolio recommendations
ATVI,Communication Services,Long-Short Portfolio recommendations
AVGO,Information Technology,Long-Short Portfolio recommendations
AZN,Health Care,Long-Short Portfolio recommendations
BIDU,Communication Services,Long-Short Portfolio recommendations
BIIB,Health Care,Long-Short Portfolio recommendations
BKNG,Consumer Discretionary,Long-Short Portfolio recommendations
BKR,Energy,Long-Short Portfolio recommendations
CDNS,Information Technology,Long-Short Portfolio recommendations
CDW,Information Technology,Long-Short Portfolio recommendations
CEG,Utilities,Long-Short Portfolio recommendations
CERN,Health Care,Long-Short Portfolio recommendations
CHTR,Communication Services,Long-Short Portfolio recommendations
CMCSA,Communication Services,Long-Short Portfolio recommendations
COST,Consumer Staples,Long-Short Portfolio recommendations
CPRT,Consumer Discretionary,Long-Short Portfolio recommendations
CRWD,Information Technology,Long-Short Portfolio recommendations
CSCO,Information Technology,Long-Short Portfolio recommendations
CSX,Industrials,Long-Short Portfolio recommendations
CTAS,Industrials,Long-Short Portfolio recommendations
CTSH,Information Technology,Long-Short Portfolio recommendations
DDOG,Information Technology,Long-Short Portfolio recommendations
DLTR,Consumer Discretionary,Long-Short Portfolio recommendations
DOCU,Information Technology,Long-Short Portfolio recommendations
DXCM,Health Care,Long-Short Portfolio recommendations
EA,Communication Services,Long-Short Portfolio recommendations
EBAY,Consumer Discretionary,Long-Short Portfolio recommendations
ENPH,Information Technology,Long-Short Portfolio recommendations
EQIX,Real Estate,Long-Short Portfolio recommendations
ES,Utilities,Long-Short Portfolio recommendations
ETSY,Consumer Discretionary,Long-Short Portfolio recommendations
EXC,Utilities,Long-Short Portfolio recommendations
FAST,Industrials,Long-Short Portfolio recommendations
FIS,Information Technology,Long-Short Portfolio recommendations
FISV,Information Technology,Long-Short Portfolio recommendations
FTNT,Information Technology,Long-Short Portfolio recommendations
GILD,Health Care,Long-Short Portfolio recommendations
HON,Industrials,Long-Short Portfolio recommendations
IDXX,Health Care,Long-Short Portfolio recommendations
ILMN,Health Care,Long-Short Portfolio recommendations
INCY,Health Care,Long-Short Portfolio recommendations
INTC,Information Technology,Long-Short Portfolio recommendations
INTU,Information Technology,Long-Short Portfolio recommendations
ISRG,Health Care,Long-Short Portfolio recommendations
JD,Consumer Discretionary,Long-Short Portfolio recommendations
KDP,Consumer Staples,Long-Short Portfolio recommendations
KHC,Consumer Staples,Long-Short Portfolio recommendations
KLAC,Information Technology,Long-Short Portfolio recommendations
LCID,Consumer Discretionary,Long-Short Portfolio recommendations
LRCX,Information Technology,Long-Short Portfolio recommendations
LULU,Consumer Discretionary,Long-Short Portfolio recommendations
MAR,Consumer Discretionary,Long-Short Portfolio recommendations
MCHP,Information Technology,Long-Short Portfolio recommendations
MNST,Consumer Staples,Long-Short Portfolio recommendations
MRNA,Health Care,Long-Short Portfolio recommendations
MRVL,Information Technology,Long-Short Portfolio recommendations
MSFT,Information Technology,Long-Short Portfolio recommendations
MU,Information Technology,Long-Short Portfolio recommendations
NFLX,Communication Services,Long-Short Portfolio recommendations
NXPI,Information Technology,Long-Short Portfolio recommendations
ODFL,Industrials,Long-Short Portfolio recommendations
OKTA,Information Technology,Long-Short Portfolio recommendations
ON,Information Technology,Long-Short Portfolio recommendations
ORLY,Consumer Discretionary,Long-Short Portfolio recommendations
PAYX,Information Technology,Long-Short Portfolio recommendations
PCAR,Industrials,Long-Short Portfolio recommendations
PEP,Consumer Staples,Long-Short Portfolio recommendations
PDD,Consumer Discretionary,Long-Short Portfolio recommendations
PYPL,Information Technology,Long-Short Portfolio recommendations
QCOM,Information Technology,Long-Short Portfolio recommendations
REGN,Health Care,Long-Short Portfolio recommendations
ROST,Consumer Discretionary,Long-Short Portfolio recommendations
SBUX,Consumer Discretionary,Long-Short Portfolio recommendations
SGEN,Health Care,Long-Short Portfolio recommendations
SIRI,Communication Services,Long-Short Portfolio recommendations
SNPS,Information Technology,Long-Short Portfolio recommendations
SPLK,Information Technology,Long-Short Portfolio recommendations
