
2023 National Employment Matrix title,2023 National Employment Matrix code,Less than high school diploma,High school diploma or equivalent,"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Doctoral or professional degree
"Total, all occupations",00-0000,7.4,22.6,18.9,9.5,25.1,11.7,4.8
Chief executives[1],11-1011,1.6,7.9,13.7,5.2,40.0,24.7,6.9
General and operations managers,11-1021,3.2,17.5,23.5,9.9,32.7,11.5,1.6
Legislators[1],11-1031,1.6,7.9,13.7,5.2,40.0,24.7,6.9
Advertising and promotions managers,11-2011,1.0,4.2,7.8,5.2,65.2,15.2,1.4
Marketing managers,11-2021,0.7,3.7,7.9,4.2,57.7,23.8,2.1
Sales managers,11-2022,1.5,10.2,18.8,8.2,47.5,12.4,1.4
Public relations managers[1],11-2032,0.2,3.9,5.8,2.8,55.6,27.6,4.0
Fundraising managers[1],11-2033,0.2,3.9,5.8,2.8,55.6,27.6,4.0
Administrative services managers,11-3012,1.0,14.7,20.9,12.1,34.2,15.0,2.0
Facilities managers,11-3013,3.0,22.6,25.8,11.4,27.2,8.5,1.5
Computer and information systems managers,11-3021,0.6,4.3,13.8,8.1,45.3,25.4,2.7
Financial managers,11-3031,1.1,10.2,16.9,8.0,41.7,20.0,2.1
Industrial production managers,11-3051,3.8,18.8,20.5,8.5,34.0,12.6,1.7
Purchasing managers,11-3061,1.1,9.9,16.6,7.6,41.7,19.3,3.9
"Transportation, storage, and distribution managers",11-3071,4.7,27.8,24.8,9.7,23.5,8.4,1.0
Compensation and benefits managers,11-3111,0.0,7.9,10.7,5.7,52.9,21.2,1.7
Human resources managers,11-3121,1.1,6.2,11.9,6.3,44.5,27.0,3.0
Training and development managers,11-3131,1.4,10.1,16.2,7.7,34.6,25.9,4.1
"Farmers, ranchers, and other agricultural managers",11-9013,11.8,32.4,18.8,10.7,21.4,3.8,1.0
Construction managers,11-9021,7.7,27.6,23.0,8.6,26.4,5.8,0.9
"Education and childcare administrators, preschool and daycare[1]",11-9031,0.9,4.9,6.9,4.8,25.0,43.9,13.6
"Education administrators, kindergarten through secondary[1]",11-9032,0.9,4.9,6.9,4.8,25.0,43.9,13.6
"Education administrators, postsecondary[1]",11-9033,0.9,4.9,6.9,4.8,25.0,43.9,13.6
"Education administrators, all other[1]",11-9039,0.9,4.9,6.9,4.8,25.0,43.9,13.6
Architectural and engineering managers,11-9041,0.6,4.1,8.0,4.6,46.8,31.0,4.9
Food service managers,11-9051,9.2,29.3,25.8,10.2,20.9,3.9,0.8
Gambling managers[1],11-9071,2.5,16.0,22.3,10.3,35.3,13.0,0.5
"Entertainment and recreation managers, except gambling[1]",11-9072,2.5,16.0,22.3,10.3,35.3,13.0,0.5
Lodging managers,11-9081,4.0,18.3,23.2,10.6,32.5,9.4,1.9
Medical and health services managers,11-9111,1.2,8.0,14.5,11.0,33.8,25.0,6.6
Natural sciences managers,11-9121,0.5,2.4,4.0,3.1,39.6,31.8,18.7
Postmasters and mail superintendents[1],11-9131,3.2,14.1,17.2,7.8,35.7,18.5,3.6
"Property, real estate, and community association managers",11-9141,4.3,18.6,23.8,9.6,31.5,9.9,2.3
Social and community service managers,11-9151,1.2,6.9,11.8,5.7,40.5,28.6,5.2
Emergency management directors,11-9161,1.5,5.4,15.8,13.0,37.2,25.6,1.5
Funeral home managers[1],11-9171,3.2,14.1,17.2,7.8,35.7,18.5,3.6
"Personal service managers, all other[1]",11-9179,3.2,14.1,17.2,7.8,35.7,18.5,3.6
"Managers, all other[1]",11-9199,3.2,14.1,17.2,7.8,35.7,18.5,3.6
"Agents and business managers of artists, performers, and athletes",13-1011,1.0,11.9,15.2,5.7,48.3,12.1,5.8
Buyers and purchasing agents[1],13-1020,2.8,21.9,21.3,10.1,33.6,9.0,1.2
"Claims adjusters, examiners, and investigators[1]",13-1031,1.6,13.9,22.6,11.8,39.8,8.8,1.6
"Insurance appraisers, auto damage[1]",13-1032,1.6,13.9,22.6,11.8,39.8,8.8,1.6
Compliance officers,13-1041,1.1,9.2,16.9,8.1,40.9,17.2,6.6
Cost estimators,13-1051,2.9,20.8,26.2,10.6,33.2,5.3,1.0
Human resources specialists[1],13-1071,1.3,9.2,16.2,8.2,45.1,18.1,1.9
Farm labor contractors[1],13-1074,1.3,9.2,16.2,8.2,45.1,18.1,1.9
Labor relations specialists[1],13-1075,1.3,9.2,16.2,8.2,45.1,18.1,1.9
Logisticians,13-1081,2.6,17.0,22.8,9.9,35.2,11.3,1.1
Project management specialists,13-1082,1.1,6.8,12.7,6.2,47.0,23.5,2.7
Management analysts,13-1111,0.7,4.5,10.4,4.5,43.7,29.9,6.3
"Meeting, convention, and event planners",13-1121,2.1,9.3,16.9,6.1,51.5,12.5,1.6
Fundraisers,13-1131,0.2,3.0,6.0,2.2,50.2,34.3,4.0
"Compensation, benefits, and job analysis specialists",13-1141,0.9,10.5,20.3,9.9,42.3,14.8,1.2
Training and development specialists,13-1151,2.6,13.4,19.3,10.4,35.1,16.9,2.4
Market research analysts and marketing specialists,13-1161,1.1,4.5,8.6,5.1,56.7,21.5,2.5
"Business operations specialists, all other",13-1199,1.4,10.1,16.3,9.0,40.6,19.3,3.4
Accountants and auditors,13-2011,0.0,2.5,3.3,6.1,58.3,26.2,3.6
Property appraisers and assessors,13-2020,0.9,10.1,23.3,10.3,44.2,8.4,2.9
Budget analysts,13-2031,0.3,6.1,11.7,6.6,44.9,28.8,1.7
Credit analysts,13-2041,0.3,7.0,17.0,9.1,51.0,14.5,1.0
Financial and investment analysts,13-2051,0.4,2.9,5.5,3.2,51.9,32.2,3.8
Personal financial advisors,13-2052,0.6,4.2,10.2,4.6,53.2,22.0,5.2
Insurance underwriters,13-2053,1.2,12.3,18.3,7.9,48.3,9.6,2.3
Financial risk specialists[1],13-2054,0.6,7.2,13.1,7.3,42.2,25.9,3.8
Financial examiners,13-2061,0.2,6.4,10.9,9.7,48.8,18.7,5.3
Credit counselors[1],13-2071,1.0,12.3,23.9,10.6,42.4,8.9,1.0
Loan officers[1],13-2072,1.0,12.3,23.9,10.6,42.4,8.9,1.0
"Tax examiners and collectors, and revenue agents",13-2081,1.1,13.7,22.9,10.5,37.2,12.6,2.0
Tax preparers,13-2082,2.1,11.3,19.8,9.7,35.1,16.3,5.6
"Financial specialists, all other[1]",13-2099,0.6,7.2,13.1,7.3,42.2,25.9,3.8
Computer systems analysts,15-1211,0.8,4.7,13.3,7.7,48.0,22.9,2.5
Information security analysts,15-1212,0.6,3.9,15.9,10.6,41.2,25.3,2.5
Computer and information research scientists,15-1221,0.3,1.5,1.2,1.7,40.3,31.9,23.1
Computer network support specialists[1],15-1231,1.2,10.1,23.5,15.4,37.7,10.8,1.2
