AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"151,853,870",0.0,,,,,31.48,"65,470",0.3,13.97,17.14,23.11,37.01,58.40,"29,050","35,660","48,060","76,980","121,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"10,495,770",0.4,,,,,66.23,"137,750",0.5,26.23,37.66,56.19,81.29,111.36,"54,550","78,330","116,880","169,090","231,620",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,"3,751,510",0.4,,,,,65.43,"136,100",0.9,22.31,31.81,49.74,79.57,#,"46,400","66,170","103,460","165,500",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,"211,230",1.4,,,,,124.47,"258,900",0.7,38.46,62.90,99.37,#,#,"80,000","130,840","206,680",#,#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"211,230",1.4,,,,,124.47,"258,900",0.7,38.46,62.90,99.37,#,#,"80,000","130,840","206,680",#,#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,"3,507,810",0.4,,,,,62.18,"129,330",0.9,22.28,31.34,48.69,77.06,111.59,"46,340","65,180","101,280","160,290","232,110",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"3,507,810",0.4,,,,,62.18,"129,330",0.9,22.28,31.34,48.69,77.06,111.59,"46,340","65,180","101,280","160,290","232,110",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1030,Legislators,broad,"32,460",1.7,,,,,*,"68,140",1.3,*,*,*,*,*,"21,010","28,810","47,290","82,200","129,510",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,"32,460",1.7,,,,,*,"68,140",1.3,*,*,*,*,*,"21,010","28,810","47,290","82,200","129,510",TRUE,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"1,070,030",1.5,,,,,76.90,"159,960",0.3,33.26,47.68,67.23,96.15,#,"69,170","99,180","139,850","199,990",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2010,Advertising and Promotions Managers,broad,"20,630",2.9,,,,,73.38,"152,620",2.7,30.57,42.70,63.40,90.64,#,"63,580","88,810","131,870","188,530",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,"20,630",2.9,,,,,73.38,"152,620",2.7,30.57,42.70,63.40,90.64,#,"63,580","88,810","131,870","188,530",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2020,Marketing and Sales Managers,broad,"944,820",1.5,,,,,77.43,"161,040",0.3,33.01,47.97,68.17,97.11,#,"68,660","99,780","141,780","201,990",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,"368,940",1.8,,,,,80.00,"166,410",0.3,38.27,51.92,75.78,100.00,#,"79,600","108,000","157,620","208,000",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,"575,880",1.3,,,,,75.77,"157,610",0.3,30.62,44.97,64.98,94.57,#,"63,700","93,540","135,160","196,700",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2030,Public Relations and Fundraising Managers,broad,"104,570",2.7,,,,,72.87,"151,570",0.9,35.59,46.24,62.73,85.66,#,"74,030","96,180","130,480","178,180",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,"72,760",3.2,,,,,76.65,"159,420",1.0,36.61,47.69,64.79,92.23,#,"76,160","99,180","134,760","191,840",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,"31,810",1.9,,,,,64.24,"133,620",0.9,33.08,41.77,57.31,78.20,102.27,"68,800","86,880","119,200","162,660","212,730",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3000,Operations Specialties Managers,minor,"2,513,900",0.6,,,,,74.59,"155,150",0.3,36.69,48.41,65.47,88.22,#,"76,320","100,690","136,170","183,500",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3010,Administrative Services and Facilities Managers,broad,"373,920",1.2,,,,,56.56,"117,650",0.3,29.74,38.54,50.44,66.45,86.41,"61,860","80,170","104,900","138,220","179,730",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,"242,520",1.3,,,,,58.27,"121,200",0.4,30.04,39.15,51.19,67.73,90.78,"62,470","81,420","106,470","140,870","188,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,"131,400",1.2,,,,,53.42,"111,110",0.4,29.25,37.56,49.20,64.42,81.26,"60,840","78,130","102,340","133,990","169,020",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3020,Computer and Information Systems Managers,broad,"592,600",0.5,,,,,86.88,"180,720",0.3,48.84,63.35,81.50,102.91,#,"101,590","131,770","169,510","214,050",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,"592,600",0.5,,,,,86.88,"180,720",0.3,48.84,63.35,81.50,102.91,#,"101,590","131,770","169,510","214,050",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3030,Financial Managers,broad,"787,340",1.0,,,,,84.05,"174,820",0.5,39.84,52.98,75.05,101.36,#,"82,870","110,190","156,100","210,830",#,,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,"787,340",1.0,,,,,84.05,"174,820",0.5,39.84,52.98,75.05,101.36,#,"82,870","110,190","156,100","210,830",#,,
